location,size,bhk,total_sqft,tot_sqft,bath,price,house_price,del_by_bath,bhk_blank,bath_blank,price_blank,del_by_sqft
JP Nagar,3 BHK,3,1690 ,1690,3,112,11200000,save,FALSE,FALSE,FALSE,save
Thigalarapalya,2 BHK,2,1418 ,1418,2,103,10300000,save,FALSE,FALSE,FALSE,save
Kasturi Nagar,4 BHK,4,1896 ,1896,3,125,12500000,save,FALSE,FALSE,FALSE,save
Sonnenahalli,1 BHK,1,605 ,605,1,40,4000000,save,FALSE,FALSE,FALSE,save
Electronic City Phase II,2 BHK,2,900 ,900,2,32.5,3250000,save,FALSE,FALSE,FALSE,save
Ananth Nagar,2 BHK,2,908 ,908,2,26,2600000,save,FALSE,FALSE,FALSE,save
Thanisandra,4 BHK,4,3216 ,3216,4,226,22600000,save,FALSE,FALSE,FALSE,save
BEML Layout,5 Bedroom,5,2400 ,2400,4,225,22500000,save,FALSE,FALSE,FALSE,save
Iblur Village,2 BHK,2,1400 ,1400,2,68,6800000,save,FALSE,FALSE,FALSE,save
Kudlu,2 BHK,2,1092 ,1092,2,44,4400000,save,FALSE,FALSE,FALSE,save
Hulimavu,2 BHK,2,1255 ,1255,2,74,7400000,save,FALSE,FALSE,FALSE,save
Electronic City,3 BHK,3,1500 ,1500,2,100,10000000,save,FALSE,FALSE,FALSE,save
Thanisandra,2 BHK,2,1296 ,1296,2,72,7200000,save,FALSE,FALSE,FALSE,save
Horamavu Banaswadi,2 BHK,2,925 ,925,2,38,3800000,save,FALSE,FALSE,FALSE,save
Raja Rajeshwari Nagar,2 BHK,2,1023 ,1023,2,42,4200000,save,FALSE,FALSE,FALSE,save
Thanisandra,2 BHK,2,1020 ,1020,2,44.5,4450000,save,FALSE,FALSE,FALSE,save
Choodasandra,3 BHK,3,1530 ,1530,3,77,7700000,save,FALSE,FALSE,FALSE,save
Gubbalala,3 BHK,3,1650 ,1650,3,71,7100000,save,FALSE,FALSE,FALSE,save
Vijaya Bank Layout,3 BHK,3,1605 ,1605,2,85,8500000,save,FALSE,FALSE,FALSE,save
Hosakerehalli,2 BHK,2,1925 ,1925,2,50,5000000,save,FALSE,FALSE,FALSE,save
Kogilu,2 BHK,2,1190 ,1190,2,50.66,5066000,save,FALSE,FALSE,FALSE,save
Jakkur,3 BHK,3,1374 ,1374,3,68,6800000,save,FALSE,FALSE,FALSE,save
6th Phase JP Nagar,2 BHK,2,1140 ,1140,2,65,6500000,save,FALSE,FALSE,FALSE,save
Green Glen Layout,3 BHK,3,1725 ,1725,3,130,13000000,save,FALSE,FALSE,FALSE,save
Bisuvanahalli,3 BHK,3,1075 ,1075,2,50,5000000,save,FALSE,FALSE,FALSE,save
Kannamangala,3 BHK,3,1574 ,1574,3,93.34,9334000,save,FALSE,FALSE,FALSE,save
Sanjay nagar,1 BHK,1,965 ,965,1,32,3200000,save,FALSE,FALSE,FALSE,save
Marathahalli,3 BHK,3,1550 ,1550,3,83,8300000,save,FALSE,FALSE,FALSE,save
Akshayanagara West,2 BHK,2,1205 ,1205,2,60,6000000,save,FALSE,FALSE,FALSE,save
Kambipura,3 BHK,3,1082 ,1082,2,55,5500000,save,FALSE,FALSE,FALSE,save
Uttarahalli,3 BHK,3,1215 ,1215,2,52.85,5285000,save,FALSE,FALSE,FALSE,save
Chikkathoguru,1 BHK,1,1500 ,1500,1,19.5,1950000,save,FALSE,FALSE,FALSE,save
1st Block Koramangala,4 Bedroom,4,2360 ,2360,4,600,60000000,save,FALSE,FALSE,FALSE,save
Ardendale,4 BHK,4,3198 ,3198,4,250,25000000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,3 BHK,3,1452 ,1452,3,60.98,6098000,save,FALSE,FALSE,FALSE,save
Electronic City Phase II,3 BHK,3,1329 ,1329,2,41,4100000,save,FALSE,FALSE,FALSE,save
Doctors Layout,2 BHK,2,1125 ,1125,2,44,4400000,save,FALSE,FALSE,FALSE,save
Anand nagar,2 Bedroom,2,1200 ,1200,2,70,7000000,save,FALSE,FALSE,FALSE,save
Sarjapur  Road,3 BHK,3,1350 ,1350,3,39.97,3997000,save,FALSE,FALSE,FALSE,save
Uttarahalli,3 BHK,3,1125 - 1500,1125,3,51.19,5119000,save,FALSE,FALSE,FALSE,save
Hebbal,3 BHK,3,2600 ,2600,3,195,19500000,save,FALSE,FALSE,FALSE,save
West of Chord Road,2 Bedroom,2,1200 ,1200,2,160,16000000,save,FALSE,FALSE,FALSE,save
Electronic City Phase II,3 BHK,3,1220 ,1220,3,35.23,3523000,save,FALSE,FALSE,FALSE,save
Pai Layout,2 BHK,2,1255 ,1255,2,80,8000000,save,FALSE,FALSE,FALSE,save
Keshava Nagar,3 BHK,3,1904 ,1904,3,155,15500000,save,FALSE,FALSE,FALSE,save
Somasundara Palya,2 BHK,2,1329 ,1329,2,70,7000000,save,FALSE,FALSE,FALSE,save
Chandapura,2 Bedroom,2,1200 ,1200,2,60,6000000,save,FALSE,FALSE,FALSE,save
Murugeshpalya,3 BHK,3,2135 ,2135,3,160,16000000,save,FALSE,FALSE,FALSE,save
"Hoodi Circle, ",1 BHK,1,813 ,813,1,39,3900000,save,FALSE,FALSE,FALSE,save
Junnasandra,4 Bedroom,4,3884 ,3884,4,240,24000000,save,FALSE,FALSE,FALSE,save
Doddaballapur,3 Bedroom,3,3876 ,3876,3,300,30000000,save,FALSE,FALSE,FALSE,save
Kalena Agrahara,2 BHK,2,800 ,800,2,30,3000000,save,FALSE,FALSE,FALSE,save
Handenahalli,4 Bedroom,4,4750 ,4750,2,120,12000000,save,FALSE,FALSE,FALSE,save
Hormavu,3 BHK,3,1500 ,1500,3,70,7000000,save,FALSE,FALSE,FALSE,save
Bannerghatta Road,3 BHK,3,1880 ,1880,3,95,9500000,save,FALSE,FALSE,FALSE,save
Electronic City,3 BHK,3,1440 ,1440,2,55,5500000,save,FALSE,FALSE,FALSE,save
Akshaya Nagar,3 BHK,3,1575 ,1575,3,90,9000000,save,FALSE,FALSE,FALSE,save
Banagiri Nagar,3 BHK,3,1630 ,1630,2,97.78,9778000,save,FALSE,FALSE,FALSE,save
Yelahanka,3 BHK,3,1180 ,1180,3,55,5500000,save,FALSE,FALSE,FALSE,save
Nagadevanahalli,2 BHK,2,1090 ,1090,2,36,3600000,save,FALSE,FALSE,FALSE,save
NGR Layout,2 BHK,2,1020 ,1020,2,48.45,4845000,save,FALSE,FALSE,FALSE,save
"Sarjapur Road, ",4 BHK,4,2425 ,2425,4,173,17300000,save,FALSE,FALSE,FALSE,save
Varthur,2 BHK,2,1097 ,1097,2,33.82,3382000,save,FALSE,FALSE,FALSE,save
Raja Rajeshwari Nagar,2 BHK,2,1070 ,1070,2,50,5000000,save,FALSE,FALSE,FALSE,save
Kumaraswami Layout,2 BHK,2,1000 ,1000,2,58,5800000,save,FALSE,FALSE,FALSE,save
manyata tech park,2 BHK,2,1150 ,1150,2,56,5600000,save,FALSE,FALSE,FALSE,save
Divya Unnathi Layout,2 BHK,2,1141 ,1141,2,49,4900000,save,FALSE,FALSE,FALSE,save
Jigani,2 BHK,2,937 ,937,2,44,4400000,save,FALSE,FALSE,FALSE,save
Green Glen Layout,2 BHK,2,1075 ,1075,2,60,6000000,save,FALSE,FALSE,FALSE,save
Panathur,2 BHK,2,1000 ,1000,2,65.3,6530000,save,FALSE,FALSE,FALSE,save
Kasavanhalli,3 BHK,3,1450 ,1450,3,77.41,7741000,save,FALSE,FALSE,FALSE,save
Ashwathnagar,2 BHK,2,936 ,936,2,43,4300000,save,FALSE,FALSE,FALSE,save
Gopalkrishna Nagar,2 BHK,2,1280 ,1280,2,75,7500000,save,FALSE,FALSE,FALSE,save
Babusapalaya,2 BHK,2,1050 ,1050,2,45,4500000,save,FALSE,FALSE,FALSE,save
Marathahalli,2 BHK,2,1350 ,1350,2,86,8600000,save,FALSE,FALSE,FALSE,save
Mallasandra,2 BHK,2,1325 ,1325,2,70,7000000,save,FALSE,FALSE,FALSE,save
Devanahalli,2 BHK,2,1174 ,1174,2,59,5900000,save,FALSE,FALSE,FALSE,save
Hosur Road,3 BHK,3,1890 ,1890,3,162,16200000,save,FALSE,FALSE,FALSE,save
Wilson Garden,1 BHK,1,735 ,735,1,75,7500000,save,FALSE,FALSE,FALSE,save
Sarvabhouma Nagar,1 BHK,1,500 ,500,1,24,2400000,save,FALSE,FALSE,FALSE,save
Gottigere,3 BHK,3,1304 ,1304,3,80,8000000,save,FALSE,FALSE,FALSE,save
Yelahanka,3 BHK,3,1653 ,1653,3,120,12000000,save,FALSE,FALSE,FALSE,save
Bisuvanahalli,3 BHK,3,1075 ,1075,2,52,5200000,save,FALSE,FALSE,FALSE,save
Hoysalanagar,2 BHK,2,1100 ,1100,2,50,5000000,save,FALSE,FALSE,FALSE,save
Billekahalli,2 BHK,2,1140 ,1140,2,50,5000000,save,FALSE,FALSE,FALSE,save
Roopena Agrahara,2 Bedroom,2,1200 ,1200,2,100,10000000,save,FALSE,FALSE,FALSE,save
Kudlu Gate,3 BHK,3,1532 ,1532,3,83,8300000,save,FALSE,FALSE,FALSE,save
Padmanabhanagar,3 BHK,3,1531 ,1531,2,75,7500000,save,FALSE,FALSE,FALSE,save
Poorna Pragna Layout,3 BHK,3,1270 ,1270,2,50.79,5079000,save,FALSE,FALSE,FALSE,save
Uttarahalli,2 BHK,2,1325 ,1325,2,53,5300000,save,FALSE,FALSE,FALSE,save
CQAL LAYOUT C BLOCK,3 Bedroom,3,1200 ,1200,3,160,16000000,save,FALSE,FALSE,FALSE,save
Electronic City,3 BHK,3,1156 ,1156,2,44,4400000,save,FALSE,FALSE,FALSE,save
R.T. Nagar,4 Bedroom,4,2000 ,2000,4,320,32000000,save,FALSE,FALSE,FALSE,save
Bannerghatta Road,2 BHK,2,1260 ,1260,2,70,7000000,save,FALSE,FALSE,FALSE,save
Vittasandra,2 BHK,2,1934 ,1934,2,90,9000000,save,FALSE,FALSE,FALSE,save
Malleshpalya,2 BHK,2,1060 ,1060,2,40,4000000,save,FALSE,FALSE,FALSE,save
Kasavanhalli,3 BHK,3,1476 ,1476,3,95,9500000,save,FALSE,FALSE,FALSE,save
Murugeshpalya,2 BHK,2,1185 ,1185,2,85,8500000,save,FALSE,FALSE,FALSE,save
Channasandra Layout,3 BHK,3,1265 ,1265,2,82,8200000,save,FALSE,FALSE,FALSE,save
Virat Nagar,2 BHK,2,1196 ,1196,2,56.81,5681000,save,FALSE,FALSE,FALSE,save
EPIP Zone,2 BHK,2,1280 ,1280,2,69,6900000,save,FALSE,FALSE,FALSE,save
Hulimavu,2 BHK,2,1175 ,1175,2,45,4500000,save,FALSE,FALSE,FALSE,save
Kacharakanahalli,3 BHK,3,1850 ,1850,3,98,9800000,save,FALSE,FALSE,FALSE,save
Indira Nagar,4 Bedroom,4,2400 ,2400,4,525,52500000,save,FALSE,FALSE,FALSE,save
Whitefield,2 BHK,2,1195 ,1195,2,70,7000000,save,FALSE,FALSE,FALSE,save
Ulsoor,3 BHK,3,2000 ,2000,3,185,18500000,save,FALSE,FALSE,FALSE,save
Hosur Road,2 BHK,2,1180 ,1180,2,36.5,3650000,save,FALSE,FALSE,FALSE,save
Jakkur,2 BHK,2,1050 ,1050,2,49.87,4987000,save,FALSE,FALSE,FALSE,save
Electronic City,3 BHK,3,1400 ,1400,2,40.44,4044000,save,FALSE,FALSE,FALSE,save
Bagalakunte,4 Bedroom,4,2360 ,2360,4,150,15000000,save,FALSE,FALSE,FALSE,save
Banashankari stage 2,2 BHK,2,1030 ,1030,2,77.25,7725000,save,FALSE,FALSE,FALSE,save
Doddanakundi Industrial Area 2,2 BHK,2,1512 ,1512,1,65.01,6501000,save,FALSE,FALSE,FALSE,save
Subramanyapura,2 BHK,2,929 ,929,2,48,4800000,save,FALSE,FALSE,FALSE,save
Jigani,3 BHK,3,1252 ,1252,3,61,6100000,save,FALSE,FALSE,FALSE,save
Green Glen Layout,3 BHK,3,1485 ,1485,3,115,11500000,save,FALSE,FALSE,FALSE,save
Electronics City Phase 1,3 BHK,3,1124 ,1124,2,55,5500000,save,FALSE,FALSE,FALSE,save
TC Palaya,6 Bedroom,6,2400 ,2400,6,370,37000000,save,FALSE,FALSE,FALSE,save
Indira Nagar,3 BHK,3,1407 ,1407,3,120,12000000,save,FALSE,FALSE,FALSE,save
Hennur Road,3 BHK,3,1482 ,1482,2,97,9700000,save,FALSE,FALSE,FALSE,save
Sector 7 HSR Layout,2 BHK,2,1163 ,1163,2,98.86,9886000,save,FALSE,FALSE,FALSE,save
Jalahalli,3 BHK,3,1570 ,1570,3,140,14000000,save,FALSE,FALSE,FALSE,save
Chandapura,1 BHK,1,520 ,520,1,14.04,1404000,save,FALSE,FALSE,FALSE,save
OLd Gurappanapalya,3 BHK,3,2000 ,2000,3,160,16000000,save,FALSE,FALSE,FALSE,save
Prithvi Layout,2 BHK,2,1352 ,1352,2,75,7500000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,1152 ,1152,2,65,6500000,save,FALSE,FALSE,FALSE,save
"ECC Road, Whitefield, ",3 BHK,3,1575 ,1575,3,93,9300000,save,FALSE,FALSE,FALSE,save
Ramanjaneyanagar,3 BHK,3,1300 ,1300,2,70,7000000,save,FALSE,FALSE,FALSE,save
Marathahalli,2 BHK,2,957 ,957,2,47,4700000,save,FALSE,FALSE,FALSE,save
Hoskote,3 BHK,3,1740 ,1740,3,60,6000000,save,FALSE,FALSE,FALSE,save
Neeladri Nagar,2 BHK,2,1060 ,1060,2,35,3500000,save,FALSE,FALSE,FALSE,save
Chikkadunnasandra,2 BHK,2,975 ,975,2,50,5000000,save,FALSE,FALSE,FALSE,save
Ramamurthy Nagar,2 BHK,2,1150 ,1150,2,51,5100000,save,FALSE,FALSE,FALSE,save
Whitefield,3 BHK,3,1738 ,1738,2,79,7900000,save,FALSE,FALSE,FALSE,save
Bommanahalli,3 BHK,3,1250 ,1250,3,55,5500000,save,FALSE,FALSE,FALSE,save
Bannerghatta Road,3 BHK,3,1788 ,1788,3,90,9000000,save,FALSE,FALSE,FALSE,save
Kanakapura,2 BHK,2,1151 ,1151,2,59,5900000,save,FALSE,FALSE,FALSE,save
Uttarahalli,3 BHK,3,1300 ,1300,2,60,6000000,save,FALSE,FALSE,FALSE,save
Garudachar Palya,2 BHK,2,1150 ,1150,2,52.8,5280000,save,FALSE,FALSE,FALSE,save
Akshya Nagar,2 BHK,2,1380 ,1380,2,75,7500000,save,FALSE,FALSE,FALSE,save
Hebbal,3 BHK,3,1645 ,1645,3,117,11700000,save,FALSE,FALSE,FALSE,save
Babusapalaya,2 BHK,2,1141 ,1141,2,45.9,4590000,save,FALSE,FALSE,FALSE,save
7th Phase JP Nagar,2 BHK,2,1175 ,1175,2,82.5,8250000,save,FALSE,FALSE,FALSE,save
Banashankari Stage V,3 BHK,3,1355 ,1355,2,61,6100000,save,FALSE,FALSE,FALSE,save
Dasarahalli,2 BHK,2,1150 ,1150,2,70,7000000,save,FALSE,FALSE,FALSE,save
Indranagar  100ft road defence colony,5 BHK,5,5800 ,5800,5,80,8000000,save,FALSE,FALSE,FALSE,save
Canara Bank Colony,2 BHK,2,1000 ,1000,2,45,4500000,save,FALSE,FALSE,FALSE,save
Balagere,2 BHK,2,1007 ,1007,2,65,6500000,save,FALSE,FALSE,FALSE,save
Kothanur,3 BHK,3,1436 ,1436,3,70,7000000,save,FALSE,FALSE,FALSE,save
Marathahalli,4 BHK,4,4000 ,4000,4,220,22000000,save,FALSE,FALSE,FALSE,save
Somasundara Palya,3 BHK,3,2372 ,2372,3,140,14000000,save,FALSE,FALSE,FALSE,save
Rajaji Nagar,2 Bedroom,2,1200 ,1200,2,150,15000000,save,FALSE,FALSE,FALSE,save
Rayasandra,2 BHK,2,1016 ,1016,2,58,5800000,save,FALSE,FALSE,FALSE,save
Dodda Nekkundi,2 BHK,2,1100 ,1100,2,48,4800000,save,FALSE,FALSE,FALSE,save
B Channasandra,2 BHK,2,1080 ,1080,2,45,4500000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,1070 ,1070,2,60,6000000,save,FALSE,FALSE,FALSE,save
Kadubeesanahalli,3 BHK,3,1532 ,1532,3,115,11500000,save,FALSE,FALSE,FALSE,save
Hennur,2 BHK,2,1040 ,1040,2,42.12,4212000,save,FALSE,FALSE,FALSE,save
Laxmi Sagar Layout,3 Bedroom,3,3100 ,3100,3,250,25000000,save,FALSE,FALSE,FALSE,save
Tumkur Road,2 BHK,2,1076 - 1199,1076,2,48.905,4890500,save,FALSE,FALSE,FALSE,save
Thanisandra,3 BHK,3,1430 ,1430,2,51.6,5160000,save,FALSE,FALSE,FALSE,save
Rajaji Nagar,2 Bedroom,2,1160 ,1160,1,163,16300000,save,FALSE,FALSE,FALSE,save
Achins Road,7 Bedroom,7,2100 ,2100,7,410,41000000,save,FALSE,FALSE,FALSE,save
Uvce Layout,2 BHK,2,1190 ,1190,2,100,10000000,save,FALSE,FALSE,FALSE,save
Panduranga Nagar,3 BHK,3,1827 ,1827,3,100,10000000,save,FALSE,FALSE,FALSE,save
HRBR Layout,2 BHK,2,1210 ,1210,2,75,7500000,save,FALSE,FALSE,FALSE,save
New Thippasandra,3 BHK,3,1500 ,1500,3,95,9500000,save,FALSE,FALSE,FALSE,save
Rachenahalli,2 BHK,2,1050 ,1050,2,53.5,5350000,save,FALSE,FALSE,FALSE,save
Hebbal,2 BHK,2,1251 ,1251,2,88.73,8873000,save,FALSE,FALSE,FALSE,save
HSR Layout,3 BHK,3,1600 ,1600,2,115,11500000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,1128 ,1128,2,65.5,6550000,save,FALSE,FALSE,FALSE,save
Budigere,3 BHK,3,1820 ,1820,3,93,9300000,save,FALSE,FALSE,FALSE,save
Raja Rajeshwari Nagar,3 BHK,3,1510 ,1510,2,59,5900000,save,FALSE,FALSE,FALSE,save
Hoodi,3 BHK,3,1925 ,1925,2,114,11400000,save,FALSE,FALSE,FALSE,save
Hennur Road,3 Bedroom,3,2651 ,2651,2,225,22500000,save,FALSE,FALSE,FALSE,save
Kumaraswami Layout,2 BHK,2,1000 ,1000,2,36,3600000,save,FALSE,FALSE,FALSE,save
KR Puram,3 Bedroom,3,1752 ,1752,3,145,14500000,save,FALSE,FALSE,FALSE,save
Sahakara Nagar,2 BHK,2,960 ,960,2,56,5600000,save,FALSE,FALSE,FALSE,save
Gattigere,2 BHK,2,1180 ,1180,2,63,6300000,save,FALSE,FALSE,FALSE,save
Benson Town,3 BHK,3,2270 ,2270,3,180,18000000,save,FALSE,FALSE,FALSE,save
NRI Layout,2 Bedroom,2,650 ,650,2,59,5900000,save,FALSE,FALSE,FALSE,save
Lakshminarayana Pura,2 BHK,2,1200 ,1200,2,75,7500000,save,FALSE,FALSE,FALSE,save
Bisuvanahalli,3 BHK,3,1180 ,1180,2,46,4600000,save,FALSE,FALSE,FALSE,save
Roopena Agrahara,3 BHK,3,1300 ,1300,3,47,4700000,save,FALSE,FALSE,FALSE,save
Bannerghatta Road,2 BHK,2,1157 ,1157,2,40,4000000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,3 BHK,3,1300 ,1300,3,69,6900000,save,FALSE,FALSE,FALSE,save
Banashankari Stage III,3 BHK,3,1305 ,1305,2,59,5900000,save,FALSE,FALSE,FALSE,save
Jakkur,2 BHK,2,1290 ,1290,2,80,8000000,save,FALSE,FALSE,FALSE,save
Hoskote,2 BHK,2,1170 ,1170,2,45,4500000,save,FALSE,FALSE,FALSE,save
Yelachenahalli,2 BHK,2,1400 ,1400,2,78,7800000,save,FALSE,FALSE,FALSE,save
Lakshminarayana Pura,2 BHK,2,1200 ,1200,2,75,7500000,save,FALSE,FALSE,FALSE,save
Kamakshipalya,3 BHK,3,1155 ,1155,2,60,6000000,save,FALSE,FALSE,FALSE,save
Hormavu,3 BHK,3,1725 ,1725,3,85,8500000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,2 BHK,2,700 ,700,2,40,4000000,save,FALSE,FALSE,FALSE,save
Hoodi,2 BHK,2,1112 ,1112,2,88,8800000,save,FALSE,FALSE,FALSE,save
Somasundara Palya,2 BHK,2,1178 ,1178,2,78,7800000,save,FALSE,FALSE,FALSE,save
Badavala Nagar,2 BHK,2,1274 ,1274,2,81,8100000,save,FALSE,FALSE,FALSE,save
Doddathoguru,2 BHK,2,915 ,915,2,32,3200000,save,FALSE,FALSE,FALSE,save
Hosur Road,1 BHK,1,760 ,760,1,21.28,2128000,save,FALSE,FALSE,FALSE,save
Maragondanahalli,3 BHK,3,1540 ,1540,3,68,6800000,save,FALSE,FALSE,FALSE,save
P&T Layout,2 BHK,2,1206 ,1206,2,38.5,3850000,save,FALSE,FALSE,FALSE,save
Basavanna Nagar,3 BHK,3,1645 ,1645,3,95,9500000,save,FALSE,FALSE,FALSE,save
Canara Bank Layout,4 Bedroom,4,1200 ,1200,4,170,17000000,save,FALSE,FALSE,FALSE,save
singapura paradise,4 Bedroom,4,1200 ,1200,4,140,14000000,save,FALSE,FALSE,FALSE,save
Nehru Nagar,4 BHK,4,2342 ,2342,3,115,11500000,save,FALSE,FALSE,FALSE,save
Kannur,3 BHK,3,1200 ,1200,2,55,5500000,save,FALSE,FALSE,FALSE,save
Yelenahalli,2 BHK,2,1056 ,1056,2,33,3300000,save,FALSE,FALSE,FALSE,save
Raja Rajeshwari Nagar,8 Bedroom,8,4800 ,4800,8,225,22500000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,3 BHK,3,1450 ,1450,3,54.3,5430000,save,FALSE,FALSE,FALSE,save
Thirumenahalli,2 BHK,2,1161 ,1161,2,36.69,3669000,save,FALSE,FALSE,FALSE,save
Dollars Colony,2 BHK,2,1097 ,1097,2,65,6500000,save,FALSE,FALSE,FALSE,save
Uttarahalli,2 BHK,2,850 ,850,2,35,3500000,save,FALSE,FALSE,FALSE,save
Green Glen Layout,3 BHK,3,1715 ,1715,3,115,11500000,save,FALSE,FALSE,FALSE,save
Basavangudi,3 BHK,3,2300 ,2300,3,317,31700000,save,FALSE,FALSE,FALSE,save
Electronic City,2 BHK,2,1200 ,1200,2,59,5900000,save,FALSE,FALSE,FALSE,save
8th Phase JP Nagar,2 BHK,2,1080 ,1080,2,38,3800000,save,FALSE,FALSE,FALSE,save
Kasavanhalli,2 BHK,2,1200 ,1200,2,50.3,5030000,save,FALSE,FALSE,FALSE,save
4th Block Koramangala,4 Bedroom,4,2400 ,2400,4,550,55000000,save,FALSE,FALSE,FALSE,save
Banashankari,3 BHK,3,1400 ,1400,2,78,7800000,save,FALSE,FALSE,FALSE,save
Whitefield,4 Bedroom,4,1500 ,1500,4,200,20000000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,1 BHK,1,381 - 535,381 ,1,19.695,1969500,save,FALSE,FALSE,FALSE,save
Marathahalli,2 BHK,2,1230 ,1230,2,57,5700000,save,FALSE,FALSE,FALSE,save
Kalyan nagar,3 BHK,3,1640 ,1640,3,88,8800000,save,FALSE,FALSE,FALSE,save
Banashankari,3 BHK,3,1700 ,1700,3,125,12500000,save,FALSE,FALSE,FALSE,save
Bommasandra,3 BHK,3,1478 ,1478,2,44,4400000,save,FALSE,FALSE,FALSE,save
Defence Colony,4 BHK,4,6600 ,6600,4,986,98600000,save,FALSE,FALSE,FALSE,save
Banashankari,2 BHK,2,1020 ,1020,2,40.79,4079000,save,FALSE,FALSE,FALSE,save
Nagarbhavi,2 Bedroom,2,1200 ,1200,2,150,15000000,save,FALSE,FALSE,FALSE,save
Yelahanka,3 BHK,3,1275 ,1275,2,95,9500000,save,FALSE,FALSE,FALSE,save
Cambridge Layout,4 Bedroom,4,1600 ,1600,3,165,16500000,save,FALSE,FALSE,FALSE,save
Kanakapura,2 BHK,2,1110 ,1110,2,38.85,3885000,save,FALSE,FALSE,FALSE,save
Uttarahalli,3 BHK,3,1628 ,1627,3,88,8800000,save,FALSE,FALSE,FALSE,save
Byagadadhenahalli,2 BHK,2,620 ,620,2,22,2200000,save,FALSE,FALSE,FALSE,save
Whitefield,4 Bedroom,4,3004 ,3004,4,285,28500000,save,FALSE,FALSE,FALSE,save
Hosa Road,2 BHK,2,1133 ,1133,2,52,5200000,save,FALSE,FALSE,FALSE,save
Hennur Road,2 BHK,2,1182 ,1182,2,82.5,8250000,save,FALSE,FALSE,FALSE,save
Tumkur Road,3 BHK,3,1500 ,1500,3,100,10000000,save,FALSE,FALSE,FALSE,save
Marathahalli,2 BHK,2,1200 ,1200,2,58,5800000,save,FALSE,FALSE,FALSE,save
Raja Rajeshwari Nagar,2 BHK,2,1128 ,1128,2,48.79,4879000,save,FALSE,FALSE,FALSE,save
Jayanagar,2 BHK,2,900 ,900,2,110,11000000,save,FALSE,FALSE,FALSE,save
Amruthahalli,2 BHK,2,1100 ,1100,2,45,4500000,save,FALSE,FALSE,FALSE,save
Kengeri Satellite Town,2 BHK,2,635 ,635,1,22,2200000,save,FALSE,FALSE,FALSE,save
Ardendale,4 BHK,4,2062 ,2062,3,140,14000000,save,FALSE,FALSE,FALSE,save
Old Madras Road,2 BHK,2,1171 ,1171,2,75,7500000,save,FALSE,FALSE,FALSE,save
Sarjapur,3 BHK,3,2020 ,2020,3,85,8500000,save,FALSE,FALSE,FALSE,save
8th Phase JP Nagar,2 BHK,2,1059 ,1059,2,34.5,3450000,save,FALSE,FALSE,FALSE,save
Panathur,3 BHK,3,1315 ,1315,2,59.1,5910000,save,FALSE,FALSE,FALSE,save
Jakkur,3 BHK,3,1760 ,1760,3,110,11000000,save,FALSE,FALSE,FALSE,save
Sampangi Rama Nagar,2 Bedroom,2,1200 ,1200,2,125,12500000,save,FALSE,FALSE,FALSE,save
Hennur Road,3 BHK,3,1192 ,1192,2,62,6200000,save,FALSE,FALSE,FALSE,save
Hebbal,3 BHK,3,1645 ,1645,3,121,12100000,save,FALSE,FALSE,FALSE,save
Whitefield,2 BHK,2,1250 ,1250,2,72,7200000,save,FALSE,FALSE,FALSE,save
Whitefield,1 BHK,1,524 - 894,524 ,1,34.385,3438500,save,FALSE,FALSE,FALSE,save
Whitefield,2 BHK,2,1340 ,1340,2,77,7700000,save,FALSE,FALSE,FALSE,save
Hosa Road,2 BHK,2,1369 ,1369,2,104,10400000,save,FALSE,FALSE,FALSE,save
Jalahalli West,2 BHK,2,1355 ,1355,2,75,7500000,save,FALSE,FALSE,FALSE,save
Bannerghatta Road,2 BHK,2,1150 ,1150,2,65,6500000,save,FALSE,FALSE,FALSE,save
Kanakapura,3 BHK,3,1938 ,1938,3,113,11300000,save,FALSE,FALSE,FALSE,save
Begur Road,4 BHK,4,2462 ,2462,4,124,12400000,save,FALSE,FALSE,FALSE,save
Budigere,3 BHK,3,1636 ,1636,3,85,8500000,save,FALSE,FALSE,FALSE,save
Akshaya Nagar,3 BHK,3,1430 ,1430,2,75,7500000,save,FALSE,FALSE,FALSE,save
BEML Layout 5th stage,3 BHK,3,2000 ,2000,3,85,8500000,save,FALSE,FALSE,FALSE,save
Electronic City Phase II,3 BHK,3,993 ,993,2,50,5000000,save,FALSE,FALSE,FALSE,save
Laggere,4 Bedroom,4,1260 ,1260,4,150,15000000,save,FALSE,FALSE,FALSE,save
Kanakpura Road,3 BHK,3,1700 ,1700,3,88,8800000,save,FALSE,FALSE,FALSE,save
Yelahanka,2 BHK,2,1270 ,1270,2,78,7800000,save,FALSE,FALSE,FALSE,save
Anjanapura,3 Bedroom,3,1500 ,1500,3,121,12100000,save,FALSE,FALSE,FALSE,save
Koramangala,3 BHK,3,2300 ,2300,3,290,29000000,save,FALSE,FALSE,FALSE,save
Hunasamaranahalli,4 Bedroom,4,7500 ,7500,4,900,90000000,save,FALSE,FALSE,FALSE,save
